地域階層,地域コード,国・地域(人),総数,中国,韓国,ベトナム,フィリピン,ネパール,台湾,米国,インド,ミャンマー,タイ,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,546436,219636,87590,36636,33214,24572,18675,18173,13378,9345,7666,77551,577329,-30893
1,13100,区部,456873,188005,74369,28350,24754,21174,16054,14901,12413,8663,6206,61984,485967,-29094
4,13101,千代田区,3057,1367,486,74,55,33,179,200,72,9,37,545,3228,-171
4,13102,中央区,8291,3705,1481,185,128,98,439,437,271,39,87,1421,8474,-183
4,13103,港区,18718,4079,3241,148,979,83,724,2777,550,61,173,5903,20314,-1596
4,13104,新宿区,37827,13615,9276,2522,740,2403,1650,913,241,1523,629,4315,42598,-4771
4,13105,文京区,10333,4851,1583,748,213,257,482,308,104,278,187,1322,11635,-1302
4,13106,台東区,14788,6741,2860,732,734,417,475,293,675,102,338,1421,15757,-969
4,13107,墨田区,12431,5901,1870,624,1257,266,411,215,118,78,374,1317,12979,-548
4,13108,江東区,30392,15258,4486,1072,1613,616,710,503,2495,439,354,2846,31021,-629
4,13109,品川区,13342,4644,2411,601,805,679,682,603,300,271,177,2169,13900,-558
4,13110,目黒区,9195,1896,1462,194,541,243,478,1025,184,47,171,2954,9673,-478
4,13111,大田区,24122,8376,3322,1942,2511,2222,983,606,323,276,449,3112,25287,-1165
4,13112,世田谷区,22164,6334,4215,893,926,472,1057,1825,560,175,264,5443,23034,-870
4,13113,渋谷区,10577,2189,1652,277,306,196,552,1420,195,41,139,3610,11266,-689
4,13114,中野区,17809,6815,2801,1621,525,1745,832,487,118,402,238,2225,20095,-2286
4,13115,杉並区,16735,5682,2491,1391,545,2127,853,726,93,199,217,2411,18576,-1841
4,13116,豊島区,26458,12414,2339,2688,549,2388,1114,412,161,1735,253,2405,29672,-3214
4,13117,北区,22271,11087,2326,1935,824,1218,564,248,194,921,204,2750,23550,-1279
4,13118,荒川区,18264,7466,4605,1745,537,1091,371,183,127,478,148,1513,19298,-1034
4,13119,板橋区,27254,14436,3141,1731,1563,1261,969,372,122,399,344,2916,28782,-1528
4,13120,練馬区,20128,8822,4074,954,1164,768,751,522,129,215,258,2471,21490,-1362
4,13121,足立区,33606,15060,7092,2101,3712,538,644,314,155,265,452,3273,34040,-434
4,13122,葛飾区,22363,11671,3022,1393,1591,896,444,193,118,258,257,2520,23126,-763
4,13123,江戸川区,36748,15596,4133,2779,2936,1157,690,319,5108,452,456,3122,38172,-1424
1,13200,市部,88306,31485,13070,8085,8177,3389,2605,3207,961,671,1412,15244,90092,-1786
4,13201,八王子市,13137,5213,1758,1217,1329,477,312,301,149,96,157,2128,13210,-73
4,13202,立川市,4650,1959,749,381,398,203,114,145,43,38,45,575,4598,52
4,13203,武蔵野市,3223,1132,517,139,103,178,184,229,43,15,42,641,3364,-141
4,13204,三鷹市,3673,1155,656,197,170,81,204,306,60,21,56,767,3943,-270
4,13205,青梅市,1986,346,198,328,454,36,77,57,6,14,59,411,1955,31
4,13206,府中市,5312,1793,787,381,548,93,193,270,40,44,85,1078,5604,-292
4,13207,昭島市,2755,695,476,341,403,262,47,61,49,41,28,352,2784,-29
4,13208,調布市,4550,1594,977,305,320,95,180,164,48,43,88,736,4824,-274
4,13209,町田市,7090,2725,986,582,614,132,174,252,97,40,109,1379,6862,228
4,13210,小金井市,2815,1169,275,201,144,140,83,202,22,20,57,502,2985,-170
4,13211,小平市,5091,1832,1010,326,273,140,145,109,34,24,92,1106,5451,-360
4,13212,日野市,3367,1298,496,411,310,111,63,94,31,30,61,462,3343,24
4,13213,東村山市,2999,1224,425,183,271,171,72,45,8,28,52,520,3008,-9
4,13214,国分寺市,2567,1198,370,129,107,192,85,78,33,18,24,333,2572,-5
4,13215,国立市,1761,686,317,141,81,88,66,71,17,15,19,260,1839,-78
4,13218,福生市,3621,596,199,890,375,491,84,108,82,29,115,652,3809,-188
4,13219,狛江市,1359,450,206,98,123,88,39,51,16,12,36,240,1408,-49
4,13220,東大和市,1201,358,201,83,248,20,22,26,0,8,24,211,1185,16
4,13221,清瀬市,1335,507,151,96,212,42,29,31,6,6,25,230,1308,27
4,13222,東久留米市,2265,742,310,169,253,61,52,206,64,14,40,354,2221,44
4,13223,武蔵村山市,1783,593,138,371,362,36,21,29,2,4,27,200,1732,51
4,13224,多摩市,2755,1169,520,198,220,77,71,68,40,41,37,314,2838,-83
4,13225,稲城市,1451,451,259,100,155,32,35,37,25,3,24,330,1448,3
4,13227,羽村市,1472,204,84,230,251,42,19,50,14,1,18,559,1444,28
4,13228,あきる野市,1038,153,110,238,147,10,22,60,2,20,27,249,973,65
4,13229,西東京市,5050,2243,895,350,306,91,212,157,30,46,65,655,5384,-334
1,13550,町村部,1257,146,151,201,283,9,16,65,4,11,48,323,1270,-13
2,13300,郡部,966,135,75,176,221,9,14,50,4,5,39,238,991,-25
4,13303,瑞穂町,788,114,54,153,191,8,9,28,4,3,32,192,835,-47
4,13305,日の出町,120,15,13,17,21,1,5,18,0,0,6,24,116,4
4,13307,檜原村,6,0,2,0,1,0,0,3,0,0,0,0,6,0
4,13308,奥多摩町,52,6,6,6,8,0,0,1,0,2,1,22,34,18
2,13350,島部,291,11,76,25,62,0,2,15,0,6,9,85,279,12
3,13360,大島支庁,129,6,14,12,7,0,1,5,0,6,7,71,114,15
3,13380,三宅支庁,33,0,15,2,13,0,0,0,0,0,0,3,33,0
3,13400,八丈支庁,99,4,42,1,38,0,1,4,0,0,2,7,108,-9
3,13420,小笠原支庁,30,1,5,10,4,0,0,6,0,0,0,4,24,6
,,,,,,,,,,,,,,,,
外国人人口　令和3年1月,,,,,,,,,,,,,,,,
第１表　区市町村別国籍・地域別外国人人口 (上位10か国・地域) （令和3年1月１日現在）,,,,,,,,,,,,,,,,
注１)住民票に記載される国籍・地域の名称は在留管理制度に基づく在留カード等の「国籍・地域」欄の表記によっている。このため、本統計の国籍・地域の名称は、平成29年1月から在留管理制度に基づく法務省「在留外国人統計」の国籍・地域の名称に合わせており、平成28年10月までの本統計の「中国」には台湾を含んでいる。,,,,,,,,,,,,,,,,
注２）上位10か国・地域とは、令和3年１月１日現在で外国人人口の多い順の国・地域である。,,,,,,,,,,,,,,,,
注３）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
