年度,事前協議件数,拡幅整備件数,距離,道路廃止距離,,,
1988,847,151,3007,536,,,
1989,761,448,7061,258,,,
1990,717,530,7429,142,,,
1991,637,624,11655,255,,,
1992,571,473,6860,334,,,
1993,612,506,6736,281,,,
1994,608,514,6115.57,89,,,
1995,716,477,6093.93,225,,,
1996,755,547,5886.8,422,,,
1997,602,592,6456.01,220,,,
1998,548,506,6185.16,500,,,
1999,573,483,5649.49,434,,,
2000,645,433,4756.76,144,,,
2001,538,517,5187.44,186,,,
2002,587,403,5147.08,228,,,
2003,532,416,5351.95,471,,,
2004,506,390,4210.96,94,,,
2005,508,333,3835.04,436,,,
2006,636,381,3688.39,127.61,,,
2007,631,373,4488.57,496.37,,,
2008,508,344,3739.95,218.76,,,
2009,518,339,4824.61,150.59,,,
2010,567,363,3592.29,212.5,,,
2011,611,342,3746.17,129.41,,,
2012,630,389,4051.85,16,,,
2013,703,384,3926.17,197.16,,,
2014,624,388,3741.26,113.7,,,
2015,672,350,3509.46,157.6,,,
2016,662,380,4105.6,242.19,,,
2017,627,363,3633.74,101.64,,,
2018,672,333,3647.37,0,,,